1	1000	10	185960[ms]
NEW	1	1000	2.0E-4	2761[ms]
NEW	1	1000	2.0E-4	2952[ms]
NEW	1	1000	2.0E-4	2355[ms]
NEW	1	1000	2.0E-4	2573[ms]
NEW	1	1000	2.0E-4	2208[ms]
NEW	1	1000	2.0E-4	2367[ms]
NEW	1	1000	2.0E-4	2576[ms]
NEW	1	1000	2.0E-4	2665[ms]
NEW	1	1000	2.0E-4	2838[ms]
NEW	1	1000	2.0E-4	2828[ms]
NEW	1	1000	2.0E-4	2384[ms]
NEW	1	1000	2.0E-4	2360[ms]
NEW	1	1000	2.0E-4	2961[ms]
NEW	1	1000	2.0E-4	2571[ms]
NEW	1	1000	2.0E-4	2347[ms]
NEW	1	1000	2.0E-4	2472[ms]
NEW	1	1000	2.0E-4	2517[ms]
NEW	1	1000	2.0E-4	2543[ms]
NEW	1	1000	2.0E-4	2296[ms]
NEW	1	1000	2.0E-4	2304[ms]
NEW	1	1000	2.0E-4	3049[ms]
NEW	1	1000	2.0E-4	2627[ms]
NEW	1	1000	2.0E-4	2785[ms]
NEW	1	1000	2.0E-4	2504[ms]
NEW	1	1000	2.0E-4	2976[ms]
NEW	1	1000	2.0E-4	2825[ms]
NEW	1	1000	2.0E-4	2890[ms]
NEW	1	1000	2.0E-4	2261[ms]
NEW	1	1000	2.0E-4	2397[ms]
NEW	1	1000	2.0E-4	2818[ms]
NEW	1	1000	2.0E-4	2659[ms]
NEW	1	1000	2.0E-4	2814[ms]
NEW	1	1000	2.0E-4	2494[ms]
NEW	1	1000	2.0E-4	2358[ms]
NEW	1	1000	2.0E-4	2643[ms]
NEW	1	1000	2.0E-4	2724[ms]
NEW	1	1000	2.0E-4	2873[ms]
NEW	1	1000	2.0E-4	2879[ms]
NEW	1	1000	2.0E-4	2686[ms]
NEW	1	1000	2.0E-4	2684[ms]
NEW	1	1000	2.0E-4	2775[ms]
NEW	1	1000	2.0E-4	2375[ms]
NEW	1	1000	2.0E-4	2730[ms]
NEW	1	1000	2.0E-4	2544[ms]
NEW	1	1000	2.0E-4	2914[ms]
NEW	1	1000	2.0E-4	2901[ms]
NEW	1	1000	2.0E-4	2405[ms]
NEW	1	1000	2.0E-4	2436[ms]
NEW	1	1000	2.0E-4	2579[ms]
NEW	1	1000	2.0E-4	2749[ms]
NEW	1	1000	2.0E-4	2557[ms]
NEW	1	1000	2.0E-4	2296[ms]
NEW	1	1000	2.0E-4	2389[ms]
NEW	1	1000	2.0E-4	2584[ms]
NEW	1	1000	2.0E-4	2525[ms]
NEW	1	1000	2.0E-4	2721[ms]
NEW	1	1000	2.0E-4	2935[ms]
NEW	1	1000	2.0E-4	2986[ms]
NEW	1	1000	2.0E-4	2785[ms]
NEW	1	1000	2.0E-4	2574[ms]
NEW	1	1000	2.0E-4	2329[ms]
NEW	1	1000	2.0E-4	2635[ms]
NEW	1	1000	2.0E-4	2703[ms]
NEW	1	1000	2.0E-4	2269[ms]
NEW	1	1000	2.0E-4	2878[ms]
NEW	1	1000	2.0E-4	2795[ms]
NEW	1	1000	2.0E-4	2873[ms]
NEW	1	1000	2.0E-4	2463[ms]
NEW	1	1000	2.0E-4	2846[ms]
NEW	1	1000	2.0E-4	2586[ms]
NEW	1	1000	2.0E-4	2454[ms]
NEW	1	1000	2.0E-4	2481[ms]
NEW	1	1000	2.0E-4	2709[ms]
NEW	1	1000	2.0E-4	2318[ms]
NEW	1	1000	2.0E-4	2372[ms]
NEW	1	1000	2.0E-4	2973[ms]
NEW	1	1000	2.0E-4	2673[ms]
NEW	1	1000	2.0E-4	2911[ms]
NEW	1	1000	2.0E-4	2612[ms]
NEW	1	1000	2.0E-4	2258[ms]
NEW	1	1000	2.0E-4	2398[ms]
NEW	1	1000	2.0E-4	2856[ms]
NEW	1	1000	2.0E-4	2918[ms]
NEW	1	1000	2.0E-4	2669[ms]
NEW	1	1000	2.0E-4	2351[ms]
NEW	1	1000	2.0E-4	2705[ms]
NEW	1	1000	2.0E-4	2460[ms]
NEW	1	1000	2.0E-4	2446[ms]
NEW	1	1000	2.0E-4	2530[ms]
NEW	1	1000	2.0E-4	2950[ms]
NEW	1	1000	2.0E-4	2845[ms]
NEW	1	1000	2.0E-4	2256[ms]
NEW	1	1000	2.0E-4	2848[ms]
NEW	1	1000	2.0E-4	3016[ms]
NEW	1	1000	2.0E-4	2168[ms]
NEW	1	1000	2.0E-4	2181[ms]
NEW	1	1000	2.0E-4	2340[ms]
NEW	1	1000	2.0E-4	2208[ms]
NEW	1	1000	2.0E-4	2645[ms]
NEW	1	1000	2.0E-4	2202[ms]
NEW	1	1000	2.0E-4	2841[ms]
NEW	1	1000	2.0E-4	2748[ms]
NEW	1	1000	2.0E-4	2699[ms]
NEW	1	1000	2.0E-4	2467[ms]
NEW	1	1000	2.0E-4	2724[ms]
NEW	1	1000	2.0E-4	2620[ms]
NEW	1	1000	2.0E-4	2594[ms]
NEW	1	1000	2.0E-4	2820[ms]
NEW	1	1000	2.0E-4	2447[ms]
NEW	1	1000	2.0E-4	2721[ms]
NEW	1	1000	2.0E-4	2596[ms]
NEW	1	1000	2.0E-4	2728[ms]
NEW	1	1000	2.0E-4	2359[ms]
